COMPANY,ticker,ticker1
Navin Fluorine International Ltd.,532504,NAVINFLUOR.NS
Navkar Corporation Ltd,539332,NAVKARCORP.NS
NBCC (India) Ltd,534309,NBCC.NS
NCC Ltd/India,500294,NCC.NS
Nesco Ltd.,505355,NESCO.NS
Nestle India Ltd,500790,NESTLEIND.NS
Network 18 Media & Investments Ltd,532798,NETWORK18.NS
NHPC Ltd,533098,NHPC.NS
NIIT Technologies Ltd,532541,COFORGE.NS
Nilkamal Ltd,523385,NILKAMAL.NS
NLC India Ltd,513683,NLCINDIA.NS
NMDC Ltd,526371,NMDC.NS
NOCIL Ltd.,500730,NOCIL.NS
NTPC Ltd,532555,NTPC.NS
Oberoi Realty Ltd,533273,OBEROIRLTY.NS
Oil & Natural Gas Corp Ltd,500312,ONGC.NS
Oil India Ltd,533106,OIL.NS
Omaxe Ltd,532880,OMAXE.NS
Oracle Financial Services Software Ltd,532466,OFSS.NS
Orient Cement Ltd,535754,ORIENTCEM.NS
Page Industries Ltd,532827,PAGEIND.NS
Parag Milk Foods Ltd,539889,PARAGMILK.NS
PC Jeweller Ltd.,534809,PCJEWELLER.NS
Persistent Systems Ltd,533179,PERSISTENT.NS
Petronet LNG Ltd,532522,PETRONET.NS
Pfizer Ltd (India),500680,PFIZER.NS
Phillips Carbon Black Ltd,506590,PHILIPCARB.NS
Phoenix Mills Ltd,503100,PHOENIXLTD.NS
PI Industries Ltd,523642,PIIND.NS
Pidilite Industries Ltd,500331,PIDILITIND.NS
Piramal Enterprises Ltd,500302,PEL.NS
PNB Housing Finance Ltd,540173,PNBHOUSING.NS
PNC Infratech Ltd,539150,PNCINFRA.NS
Power Finance Corp Ltd,532810,PFC.NS
Power Grid Corp of India Ltd,532898,POWERGRID.NS
Prestige Estates Projects Ltd,533274,PRESTIGE.NS
Prism Johnson Ltd,500338,PRSMJOHNSN.NS
Procter & Gamble Hygiene & Health Care Ltd,500459,PGHH.NS
PTC India Ltd,532524,PTC.NS
Punjab National Bank,532461,PNB.NS
PVR Ltd,532689,PVR.NS
Quess Corp Ltd,539978,QUESS.NS
Radico Khaitan Ltd,532497,RADICO.NS
Rain Industries Limited,500339,RAIN.NS
Rajesh Exports Ltd,531500,RAJESHEXPO.NS
Rallis India Ltd,500355,RALLIS.NS
Ramco Cements Ltd,500260,RAMCOCEM.NS
Rashtriya Chemicals & Fertilizers Ltd.,524230,RCF.NS
Ratnamani Metals & Tubes Ltd,520111,RATNAMANI.NS
Raymond Ltd.,500330,RAYMOND.NS
RBL Bank Ltd,540065,RBLBANK.NS
REC Ltd,532955,RECLTD.NS
Redington India Ltd,532805,REDINGTON.NS
Relaxo Footwears Ltd,530517,RELAXO.NS
Reliance Capital Ltd,500111,RELCAPITAL.NS
Reliance Communications Ltd,532712,RCOM.NS
Reliance Industries Ltd,500325,RELIANCE.NS
Reliance Infrastructure Ltd,500390,RELINFRA.NS
Reliance Nippon Life Asset Management Ltd,540767,NAM-INDIA.NS
Reliance Power Ltd,532939,RPOWER.NS
Repco Home Finance Ltd.,535322,REPCOHOME.NS
S H Kelkar and Company Ltd,539450,SHK.NS
Sadbhav Engineering Ltd,532710,SADBHAV.NS
Sanofi India Ltd,500674,SANOFI.NS
SBI Life Insurance Company Ltd,540719,SBILIFE.NS
Schaeffler India Ltd,505790,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,534139,SCHNEIDER.NS
Security and Intelligence Services (India) Ltd,540673,SIS.NS
Shankara Building Products Ltd,540425,SHANKARA.NS
Sharda Cropchem Limited,538666,SHARDACROP.NS
Sheela Foam Ltd,540203,SFL.NS
Shilpa Medicare Ltd,530549,SHILPAMED.NS
Shipping Corp of India Ltd,523598,SCI.NS
Shoppers Stop Ltd,532638,SHOPERSTOP.NS
Shree Cement Ltd,500387,SHREECEM.NS
Shriram City Union Finance Ltd.,532498,SHRIRAMCIT.NS
Shriram Transport Finance Co Ltd,511218,SRTRANSFIN.NS
Siemens India Ltd,500550,SIEMENS.NS
SJVN Ltd,533206,SJVN.NS
SKF India Ltd,500472,SKFINDIA.NS
